Postcode,Total
3988,238
3990,33
3991,136
3992,315
3995,"2,828"
3996,"1,714"
4000,390
4001,17
4002,1
4004,8
4005,922
4006,590
4007,"1,260"
4008,133
4009,140
4010,288
4011,"2,185"
4012,"3,202"
4013,822
4014,"3,190"
4017,"8,666"
4018,"2,899"
4019,"3,936"
4020,"5,431"
4021,"2,109"
4022,"2,035"
4025,258
4030,"2,096"
4031,"2,123"
4032,"2,005"
4034,"9,051"
4035,"7,462"
4036,"1,738"
4037,"2,212"
4051,"4,425"
4053,"8,588"
4054,"2,989"
4055,"5,591"
4059,"1,355"
4060,"2,333"
4061,"4,022"
4062,1
4063,1
4064,"1,556"
4065,"1,871"
4066,"1,618"
4067,875
4068,"3,077"
4069,"8,535"
4070,"3,632"
4073,"2,498"
4074,"6,438"
4075,"4,694"
4076,"1,251"
4077,"5,920"
4078,"6,073"
4101,"1,762"
4102,869
4103,"1,903"
4104,972
4105,"2,247"
4106,534
4107,"1,486"
4108,"1,481"
4109,"8,735"
4110,"5,060"
4111,190
4112,"2,150"
4113,"6,097"
4114,"3,887"
4115,"5,319"
4116,"6,508"
4117,572
4118,"8,118"
4119,"1,836"
4120,"1,054"
4121,"4,777"
4122,"8,198"
4123,"6,069"
4124,"9,181"
4125,"3,597"
4127,"5,754"
4128,"4,417"
4129,"1,777"
4130,"2,651"
4131,"2,030"
4132,"5,002"
4133,"5,754"
4151,"2,131"
4152,"9,350"
4153,"1,095"
4154,"2,929"
4155,471
4156,953
4157,"5,322"
4158,819
4159,"4,245"
4160,"5,482"
4161,"4,480"
4163,"3,765"
4164,"4,915"
4165,"12,376"
4169,917
4170,"4,364"
4171,"2,697"
4172,988
4173,"2,038"
4174,836
4178,"5,560"
4179,"4,583"
4183,741
4184,"3,519"
4205,"1,700"
4207,"16,696"
4208,"6,822"
4209,"14,326"
4210,"6,388"
4211,"15,056"
4212,"9,346"
4213,"8,481"
4214,"9,400"
4215,"5,365"
4216,"8,106"
4217,"4,705"
4218,"5,593"
4219,20
4220,"6,389"
4221,"6,108"
4223,"3,703"
4224,"1,083"
4225,538
4226,"7,072"
4227,"4,405"
4228,"1,696"
4230,11
4237,1
4270,"1,410"
4271,358
4272,"2,055"
4275,"1,219"
4276,1
4280,"7,615"
4285,"6,805"
4287,220
4300,"16,985"
4301,"7,178"
4303,669
4304,"3,850"
4305,"13,806"
4306,"15,432"
4307,524
4309,"1,039"
4310,"1,953"
4311,"3,618"
4312,"1,192"
4313,798
4314,548
4340,"1,862"
4341,"5,740"
4342,866
4343,"3,590"
4344,780
4345,1
4346,385
4347,483
4350,"19,227"
4352,"9,033"
4353,109
4354,372
4355,827
4356,"1,192"
4357,695
4358,649
4359,381
4360,198
4361,687
4362,763
4363,196
4364,62
4365,178
4370,"4,568"
4371,234
4372,47
4373,270
4374,125
4375,55
4376,98
4377,191
4378,178
4380,"2,180"
4381,214
4382,161
4383,209
4384,6
4385,285
4387,267
4388,88
4390,"1,225"
4400,612
4401,"1,314"
4402,95
4403,208
4404,90
4405,"3,088"
4406,297
4407,128
4408,224
4410,369
4411,73
4412,59
4413,"1,668"
4415,465
4416,100
4417,179
4418,19
4419,206
4420,247
4421,538
4422,110
4423,40
4424,51
4425,40
4426,21
4427,98
4428,196
4454,247
4455,"1,946"
4461,12
4462,20
4465,397
4467,50
4468,101
4470,654
4472,285
4474,14
4475,3
4477,128
4478,129
4479,4
4480,195
4481,19
4482,35
4486,152
4487,734
4488,54
4489,22
4490,375
4491,24
4492,143
4493,9
4494,34
4496,66
4497,64
4498,22
4500,"11,722"
4501,"1,527"
4502,"2,252"
4503,"10,703"
4504,"6,442"
4505,"8,256"
4506,"6,810"
4507,"8,373"
4508,"4,376"
4509,"8,204"
4510,"15,202"
4511,"3,816"
4512,"1,251"
4513,40
4514,"2,812"
4515,"1,460"
4516,"1,609"
4517,280
