2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
2150,35254 ,873,1
2151,21204 ,995,5
2152,11261 ,1011,6
2153,62610 ,1098,10
2154,40874 ,1100,10
2155,75699 ,1148,10
2156,13403 ,1150,10
2157,4042 ,1133,10
2158,8937 ,1119,10
2159,5148 ,1126,10
2160,39388 ,917,1
2161,34379 ,903,1
2162,20306 ,925,1
2163,10544 ,838,1
2164,21273 ,950,2
2165,45046 ,899,1
2166,54184 ,896,1
2167,10536 ,1007,6
2168,45023 ,925,1
2170,114479 ,959,3
2171,38882 ,1090,10
2172,2892 ,1160,10
2173,14544 ,1068,9
2174,12080 ,1110,10
2175,1790 ,1087,10
2176,50022 ,1004,6
2177,17154 ,972,4
2178,4170 ,1080,9
2179,16262 ,1087,10
2190,27559 ,953,3
2191,6555 ,992,5
2192,13781 ,926,1
2193,17778 ,991,5
2194,26132 ,884,1
2195,27103 ,843,1
2196,33743 ,944,2
2197,10121 ,958,3
2198,9843 ,1032,7
2199,19651 ,939,2
2200,48003 ,909,1
2203,13946 ,970,3
2204,26567 ,966,3
2205,25338 ,936,2
2206,19730 ,1041,8
2207,28382 ,1011,6
2208,12881 ,1016,6
2209,15825 ,971,3
2210,33262 ,987,5
2211,17610 ,1015,6
2212,17184 ,1000,5
2213,23290 ,1043,8
2214,4074 ,1088,10
2216,28027 ,942,2
2217,28673 ,972,4
2218,16182 ,961,3
2219,13771 ,1013,6
2220,33761 ,933,2
2221,17065 ,1071,9
2222,12660 ,985,4
2223,21403 ,1050,8
2224,14559 ,1074,9
2225,5560 ,1148,10
2226,13054 ,1089,10
2227,15364 ,1085,10
2228,21001 ,1025,7
2229,30943 ,1077,9
2230,30690 ,1054,9
2231,2528 ,1084,10
2232,35304 ,1047,8
2233,29960 ,1102,10
2234,30648 ,1133,10
2250,71168 ,1006,6
2251,33721 ,1058,9
2256,16039 ,945,2
2257,30403 ,986,4
2258,5253 ,1059,9
2259,66236 ,1013,6
2260,25845 ,1086,10
2261,55129 ,994,5
2262,21411 ,973,4
2263,24554 ,935,2
2264,16162 ,989,5
2265,7464 ,1031,7
2267,2920 ,1004,6
2278,2565 ,1046,8
2280,27183 ,1016,6
2281,15323 ,1007,6
2282,16146 ,1052,8
2283,24419 ,994,5
2284,12612 ,999,5
2285,33869 ,1022,7
2286,4690 ,1017,6
2287,40845 ,997,5
2289,20257 ,1035,8
2290,34912 ,1011,6
2291,14279 ,1043,8
2292,2622 ,949,2
2293,3302 ,981,4
2294,2061 ,946,2
2295,8091 ,1005,6
2296,2026 ,931,2
2297,1801 ,992,5
2298,10141 ,933,2
2299,11905 ,918,1
2300,12058 ,946,2
2302,1411 ,926,1
2303,9710 ,953,2
2304,15807 ,942,2
2305,13108 ,1025,7
2306,3421 ,718,1
2307,4537 ,929,2
2311,913 ,1018,7
2312,1500 ,1013,6
2315,15287 ,998,5
2316,6577 ,1018,7
2317,6553 ,989,5
2318,13667 ,1054,9
2319,6887 ,968,3
2320,39163 ,1025,7
2321,19857 ,1054,9
2322,24373 ,1017,6
2323,26051 ,986,5
2324,25443 ,972,4
2325,31073 ,965,3
2326,7871 ,971,3
2327,7830 ,929,2
2328,2506 ,1010,6
2329,2138 ,974,4
2330,21445 ,1018,7
2331,581 ,1052,8
2333,13795 ,964,3
2334,3349 ,1028,7
2335,8124 ,1070,9
2336,2589 ,1002,5
2337,8060 ,1011,6
2338,1403 ,962,3
2339,718 ,998,5
2340,52436 ,975,4
2341,1478 ,892,1
2342,465 ,1058,9
2343,4858 ,956,3
2344,674 ,1094,10
2345,707 ,1043,8
2346,3033 ,950,2
2347,1865 ,938,2
2350,26911 ,959,3
2352,2950 ,999,5
2353,1201 ,1001,5
2354,3484 ,1004,6
2355,627 ,983,4
2356,124 ,926,1
2357,4069 ,943,2
2358,3727 ,977,4
2359,710 ,979,4
2360,14995 ,952,2
2361,927 ,918,1
2365,3762 ,976,4
2369,871 ,909,1
2370,7785 ,927,2
2371,1158 ,933,2
2372,4789 ,943,2
2379,291 ,1034,7
2380,11118 ,986,5
2381,1302 ,992,5
2382,1381 ,975,4
2386,293 ,1034,7
2387,201 ,1010,6
2388,2554 ,949,2
2390,8540 ,985,4
2395,725 ,917,1
2396,834 ,942,2
2397,286 ,985,4
2398,248 ,1073,9
2399,623 ,1020,7
2400,9708 ,951,2
2401,299 ,1055,9
2402,1745 ,950,2
2403,719 ,985,4
2404,1676 ,949,2
2405,500 ,973,4
2406,705 ,931,2
2408,310 ,1052,8
2409,1072 ,831,1
2410,240 ,982,4
2411,104 ,1053,8
2415,429 ,1016,6
2420,4016 ,1001,5
2421,2069 ,1091,10
2422,5608 ,969,3
2423,3297 ,974,4
2424,480 ,962,3
2425,2018 ,1016,6
2426,850 ,982,4
2427,3463 ,961,3
2428,25187 ,954,3
2429,9650 ,971,3
2430,36841 ,953,3
2431,5628 ,970,3
2439,4031 ,1025,7
2440,23166 ,935,2
2441,4288 ,988,5
2443,8739 ,950,2
2444,51117 ,985,4
2445,7350 ,1031,7
2446,15054 ,1004,6
2447,7809 ,970,3
2448,9618 ,931,2
2449,2165 ,921,1
2450,47335 ,985,4
2452,15260 ,958,3
2453,2787 ,971,3
2454,7953 ,993,5
2455,3185 ,952,2
2456,17141 ,997,5
2460,31079 ,954,3
2462,2529 ,956,3
2463,8304 ,996,5
2464,7058 ,980,4
2465,346 ,934,2
2466,1765 ,913,1
2469,4359 ,942,2
2470,15477 ,956,3
2471,2821 ,1006,6
2472,1987 ,976,4
2473,3203 ,941,2
2474,6492 ,951,2
2475,399 ,912,1
2476,847 ,964,3
2477,12899 ,1019,7
2478,32053 ,1005,6
2479,5780 ,1080,9
2480,45938 ,972,3
2481,13659 ,1003,6
2482,6967 ,987,5
2483,11616 ,1000,5
2484,20083 ,988,5
2485,15349 ,937,2
2486,32838 ,997,5
2487,15090 ,1028,7
2488,3523 ,1005,6
2489,7894 ,1037,8
2490,690 ,1070,9
2500,43472 ,933,2
2502,12551 ,900,1
2505,5088 ,944,2
2506,7798 ,920,1
2508,9346 ,1104,10
2515,11745 ,1089,10
2516,6798 ,1065,9
